number,season,episode,airdate,title,tvmaze link
1,1,1,31 Oct 10,"Days Gone Bye","https://www.tvmaze.com/episodes/4095/the-walking-dead-1x01-days-gone-bye"
2,1,2,07 Nov 10,"Guts","https://www.tvmaze.com/episodes/4096/the-walking-dead-1x02-guts"
3,1,3,14 Nov 10,"Tell It to the Frogs","https://www.tvmaze.com/episodes/4097/the-walking-dead-1x03-tell-it-to-the-frogs"
4,1,4,21 Nov 10,"Vatos","https://www.tvmaze.com/episodes/4098/the-walking-dead-1x04-vatos"
5,1,5,28 Nov 10,"Wildfire","https://www.tvmaze.com/episodes/4099/the-walking-dead-1x05-wildfire"
6,1,6,05 Dec 10,"TS-19","https://www.tvmaze.com/episodes/4100/the-walking-dead-1x06-ts-19"
7,2,1,16 Oct 11,"What Lies Ahead","https://www.tvmaze.com/episodes/4101/the-walking-dead-2x01-what-lies-ahead"
8,2,2,23 Oct 11,"Bloodletting","https://www.tvmaze.com/episodes/4102/the-walking-dead-2x02-bloodletting"
9,2,3,30 Oct 11,"Save the Last One","https://www.tvmaze.com/episodes/4103/the-walking-dead-2x03-save-the-last-one"
10,2,4,06 Nov 11,"Cherokee Rose","https://www.tvmaze.com/episodes/4104/the-walking-dead-2x04-cherokee-rose"
11,2,5,13 Nov 11,"Chupacabra","https://www.tvmaze.com/episodes/4105/the-walking-dead-2x05-chupacabra"
12,2,6,20 Nov 11,"Secrets","https://www.tvmaze.com/episodes/4106/the-walking-dead-2x06-secrets"
13,2,7,27 Nov 11,"Pretty Much Dead Already","https://www.tvmaze.com/episodes/4107/the-walking-dead-2x07-pretty-much-dead-already"
14,2,8,12 Feb 12,"Nebraska","https://www.tvmaze.com/episodes/4108/the-walking-dead-2x08-nebraska"
15,2,9,19 Feb 12,"Triggerfinger","https://www.tvmaze.com/episodes/4109/the-walking-dead-2x09-triggerfinger"
16,2,10,26 Feb 12,"18 Miles Out","https://www.tvmaze.com/episodes/4110/the-walking-dead-2x10-18-miles-out"
17,2,11,04 Mar 12,"Judge, Jury, Executioner","https://www.tvmaze.com/episodes/4111/the-walking-dead-2x11-judge-jury-executioner"
18,2,12,11 Mar 12,"Better Angels","https://www.tvmaze.com/episodes/4112/the-walking-dead-2x12-better-angels"
19,2,13,18 Mar 12,"Beside the Dying Fire","https://www.tvmaze.com/episodes/4113/the-walking-dead-2x13-beside-the-dying-fire"
20,3,1,14 Oct 12,"Seed","https://www.tvmaze.com/episodes/4114/the-walking-dead-3x01-seed"
21,3,2,21 Oct 12,"Sick","https://www.tvmaze.com/episodes/4115/the-walking-dead-3x02-sick"
22,3,3,28 Oct 12,"Walk with Me","https://www.tvmaze.com/episodes/4116/the-walking-dead-3x03-walk-with-me"
23,3,4,04 Nov 12,"Killer Within","https://www.tvmaze.com/episodes/4117/the-walking-dead-3x04-killer-within"
24,3,5,11 Nov 12,"Say the Word","https://www.tvmaze.com/episodes/4118/the-walking-dead-3x05-say-the-word"
25,3,6,18 Nov 12,"Hounded","https://www.tvmaze.com/episodes/4119/the-walking-dead-3x06-hounded"
26,3,7,25 Nov 12,"When the Dead Come Knocking","https://www.tvmaze.com/episodes/4120/the-walking-dead-3x07-when-the-dead-come-knocking"
27,3,8,02 Dec 12,"Made to Suffer","https://www.tvmaze.com/episodes/4121/the-walking-dead-3x08-made-to-suffer"
28,3,9,10 Feb 13,"The Suicide King","https://www.tvmaze.com/episodes/4122/the-walking-dead-3x09-the-suicide-king"
29,3,10,17 Feb 13,"Home","https://www.tvmaze.com/episodes/4123/the-walking-dead-3x10-home"
30,3,11,24 Feb 13,"I Ain't a Judas","https://www.tvmaze.com/episodes/4124/the-walking-dead-3x11-i-aint-a-judas"
31,3,12,03 Mar 13,"Clear","https://www.tvmaze.com/episodes/4125/the-walking-dead-3x12-clear"
32,3,13,10 Mar 13,"Arrow on the Doorpost","https://www.tvmaze.com/episodes/4126/the-walking-dead-3x13-arrow-on-the-doorpost"
33,3,14,17 Mar 13,"Prey","https://www.tvmaze.com/episodes/4127/the-walking-dead-3x14-prey"
34,3,15,24 Mar 13,"This Sorrowful Life","https://www.tvmaze.com/episodes/4128/the-walking-dead-3x15-this-sorrowful-life"
35,3,16,31 Mar 13,"Welcome to the Tombs","https://www.tvmaze.com/episodes/4129/the-walking-dead-3x16-welcome-to-the-tombs"
36,4,1,13 Oct 13,"30 Days Without an Accident","https://www.tvmaze.com/episodes/4130/the-walking-dead-4x01-30-days-without-an-accident"
37,4,2,20 Oct 13,"Infected","https://www.tvmaze.com/episodes/4131/the-walking-dead-4x02-infected"
38,4,3,27 Oct 13,"Isolation","https://www.tvmaze.com/episodes/4132/the-walking-dead-4x03-isolation"
39,4,4,03 Nov 13,"Indifference","https://www.tvmaze.com/episodes/4133/the-walking-dead-4x04-indifference"
40,4,5,10 Nov 13,"Internment","https://www.tvmaze.com/episodes/4134/the-walking-dead-4x05-internment"
41,4,6,17 Nov 13,"Live Bait","https://www.tvmaze.com/episodes/4135/the-walking-dead-4x06-live-bait"
42,4,7,24 Nov 13,"Dead Weight","https://www.tvmaze.com/episodes/4136/the-walking-dead-4x07-dead-weight"
43,4,8,01 Dec 13,"Too Far Gone","https://www.tvmaze.com/episodes/4137/the-walking-dead-4x08-too-far-gone"
44,4,9,09 Feb 14,"After","https://www.tvmaze.com/episodes/4138/the-walking-dead-4x09-after"
45,4,10,16 Feb 14,"Inmates","https://www.tvmaze.com/episodes/4139/the-walking-dead-4x10-inmates"
46,4,11,23 Feb 14,"Claimed","https://www.tvmaze.com/episodes/4140/the-walking-dead-4x11-claimed"
47,4,12,02 Mar 14,"Still","https://www.tvmaze.com/episodes/4141/the-walking-dead-4x12-still"
48,4,13,09 Mar 14,"Alone","https://www.tvmaze.com/episodes/4142/the-walking-dead-4x13-alone"
49,4,14,16 Mar 14,"The Grove","https://www.tvmaze.com/episodes/4143/the-walking-dead-4x14-the-grove"
50,4,15,23 Mar 14,"Us","https://www.tvmaze.com/episodes/4144/the-walking-dead-4x15-us"
51,4,16,30 Mar 14,"A","https://www.tvmaze.com/episodes/4145/the-walking-dead-4x16-a"
52,5,1,12 Oct 14,"No Sanctuary","https://www.tvmaze.com/episodes/4146/the-walking-dead-5x01-no-sanctuary"
53,5,2,19 Oct 14,"Strangers","https://www.tvmaze.com/episodes/4147/the-walking-dead-5x02-strangers"
54,5,3,26 Oct 14,"Four Walls and a Roof","https://www.tvmaze.com/episodes/4148/the-walking-dead-5x03-four-walls-and-a-roof"
55,5,4,02 Nov 14,"Slabtown","https://www.tvmaze.com/episodes/14103/the-walking-dead-5x04-slabtown"
56,5,5,09 Nov 14,"Self Help","https://www.tvmaze.com/episodes/15852/the-walking-dead-5x05-self-help"
57,5,6,16 Nov 14,"Consumed","https://www.tvmaze.com/episodes/15853/the-walking-dead-5x06-consumed"
58,5,7,23 Nov 14,"Crossed","https://www.tvmaze.com/episodes/15854/the-walking-dead-5x07-crossed"
59,5,8,30 Nov 14,"Coda","https://www.tvmaze.com/episodes/15855/the-walking-dead-5x08-coda"
60,5,9,08 Feb 15,"What Happened and What's Going On","https://www.tvmaze.com/episodes/15856/the-walking-dead-5x09-what-happened-and-whats-going-on"
61,5,10,15 Feb 15,"Them","https://www.tvmaze.com/episodes/15857/the-walking-dead-5x10-them"
62,5,11,22 Feb 15,"The Distance","https://www.tvmaze.com/episodes/15858/the-walking-dead-5x11-the-distance"
63,5,12,01 Mar 15,"Remember","https://www.tvmaze.com/episodes/15859/the-walking-dead-5x12-remember"
64,5,13,08 Mar 15,"Forget","https://www.tvmaze.com/episodes/15860/the-walking-dead-5x13-forget"
65,5,14,15 Mar 15,"Spend","https://www.tvmaze.com/episodes/15861/the-walking-dead-5x14-spend"
66,5,15,22 Mar 15,"Try","https://www.tvmaze.com/episodes/15862/the-walking-dead-5x15-try"
67,5,16,29 Mar 15,"Conquer","https://www.tvmaze.com/episodes/15863/the-walking-dead-5x16-conquer"
68,6,1,11 Oct 15,"First Time Again (90 min)","https://www.tvmaze.com/episodes/185066/the-walking-dead-6x01-first-time-again"
69,6,2,18 Oct 15,"JSS","https://www.tvmaze.com/episodes/185067/the-walking-dead-6x02-jss"
70,6,3,25 Oct 15,"Thank You","https://www.tvmaze.com/episodes/185068/the-walking-dead-6x03-thank-you"
71,6,4,01 Nov 15,"Here's Not Here (90 min)","https://www.tvmaze.com/episodes/185069/the-walking-dead-6x04-heres-not-here"
72,6,5,08 Nov 15,"Now","https://www.tvmaze.com/episodes/185070/the-walking-dead-6x05-now"
73,6,6,15 Nov 15,"Always Accountable","https://www.tvmaze.com/episodes/185071/the-walking-dead-6x06-always-accountable"
74,6,7,22 Nov 15,"Heads Up","https://www.tvmaze.com/episodes/185072/the-walking-dead-6x07-heads-up"
75,6,8,29 Nov 15,"Start to Finish","https://www.tvmaze.com/episodes/185073/the-walking-dead-6x08-start-to-finish"
76,6,9,14 Feb 16,"No Way Out","https://www.tvmaze.com/episodes/384350/the-walking-dead-6x09-no-way-out"
77,6,10,21 Feb 16,"The Next World","https://www.tvmaze.com/episodes/483068/the-walking-dead-6x10-the-next-world"
78,6,11,28 Feb 16,"Knots Untie","https://www.tvmaze.com/episodes/483069/the-walking-dead-6x11-knots-untie"
79,6,12,06 Mar 16,"Not Tomorrow Yet","https://www.tvmaze.com/episodes/628794/the-walking-dead-6x12-not-tomorrow-yet"
80,6,13,13 Mar 16,"The Same Boat","https://www.tvmaze.com/episodes/638714/the-walking-dead-6x13-the-same-boat"
81,6,14,20 Mar 16,"Twice as Far","https://www.tvmaze.com/episodes/639987/the-walking-dead-6x14-twice-as-far"
82,6,15,27 Mar 16,"East","https://www.tvmaze.com/episodes/639988/the-walking-dead-6x15-east"
83,6,16,03 Apr 16,"Last Day on Earth (90 min)","https://www.tvmaze.com/episodes/639999/the-walking-dead-6x16-last-day-on-earth"
84,7,1,23 Oct 16,"The Day Will Come When You Won't Be","https://www.tvmaze.com/episodes/707345/the-walking-dead-7x01-the-day-will-come-when-you-wont-be"
85,7,2,30 Oct 16,"The Well","https://www.tvmaze.com/episodes/895793/the-walking-dead-7x02-the-well"
86,7,3,06 Nov 16,"The Cell","https://www.tvmaze.com/episodes/895794/the-walking-dead-7x03-the-cell"
87,7,4,13 Nov 16,"Service (85 min)","https://www.tvmaze.com/episodes/895795/the-walking-dead-7x04-service"
88,7,5,20 Nov 16,"Go Getters","https://www.tvmaze.com/episodes/895796/the-walking-dead-7x05-go-getters"
89,7,6,27 Nov 16,"Swear","https://www.tvmaze.com/episodes/895797/the-walking-dead-7x06-swear"
90,7,7,04 Dec 16,"Sing Me a Song","https://www.tvmaze.com/episodes/895798/the-walking-dead-7x07-sing-me-a-song"
91,7,8,11 Dec 16,"Hearts Still Beating","https://www.tvmaze.com/episodes/895799/the-walking-dead-7x08-hearts-still-beating"
92,7,9,12 Feb 17,"Rock in the Road (73 min)","https://www.tvmaze.com/episodes/1013811/the-walking-dead-7x09-rock-in-the-road"
93,7,10,19 Feb 17,"New Best Friends","https://www.tvmaze.com/episodes/1055161/the-walking-dead-7x10-new-best-friends"
94,7,11,26 Feb 17,"Hostiles and Calamities","https://www.tvmaze.com/episodes/1063327/the-walking-dead-7x11-hostiles-and-calamities"
95,7,12,05 Mar 17,"Say Yes","https://www.tvmaze.com/episodes/1063328/the-walking-dead-7x12-say-yes"
96,7,13,12 Mar 17,"Bury Me Here","https://www.tvmaze.com/episodes/1063329/the-walking-dead-7x13-bury-me-here"
97,7,14,19 Mar 17,"The Other Side","https://www.tvmaze.com/episodes/1063330/the-walking-dead-7x14-the-other-side"
98,7,15,26 Mar 17,"Something They Need","https://www.tvmaze.com/episodes/1063331/the-walking-dead-7x15-something-they-need"
99,7,16,02 Apr 17,"The First Day of the Rest of Your Life","https://www.tvmaze.com/episodes/1063332/the-walking-dead-7x16-the-first-day-of-the-rest-of-your-life"
100,8,1,22 Oct 17,"Mercy","https://www.tvmaze.com/episodes/1254265/the-walking-dead-8x01-mercy"
101,8,2,29 Oct 17,"The Damned","https://www.tvmaze.com/episodes/1319895/the-walking-dead-8x02-the-damned"
102,8,3,05 Nov 17,"Monsters","https://www.tvmaze.com/episodes/1320243/the-walking-dead-8x03-monsters"
103,8,4,12 Nov 17,"Some Guy","https://www.tvmaze.com/episodes/1335911/the-walking-dead-8x04-some-guy"
104,8,5,19 Nov 17,"The Big Scary U","https://www.tvmaze.com/episodes/1335912/the-walking-dead-8x05-the-big-scary-u"
105,8,6,26 Nov 17,"The King, the Widow, and Rick","https://www.tvmaze.com/episodes/1336334/the-walking-dead-8x06-the-king-the-widow-and-rick"
106,8,7,03 Dec 17,"Time for After","https://www.tvmaze.com/episodes/1336335/the-walking-dead-8x07-time-for-after"
107,8,8,10 Dec 17,"How It's Gotta Be (88 min)","https://www.tvmaze.com/episodes/1336336/the-walking-dead-8x08-how-its-gotta-be"
108,8,9,25 Feb 18,"Honor","https://www.tvmaze.com/episodes/1371551/the-walking-dead-8x09-honor"
109,8,10,04 Mar 18,"The Lost and the Plunderers","https://www.tvmaze.com/episodes/1406101/the-walking-dead-8x10-the-lost-and-the-plunderers"
110,8,11,11 Mar 18,"Dead or Alive Or","https://www.tvmaze.com/episodes/1409522/the-walking-dead-8x11-dead-or-alive-or"
111,8,12,18 Mar 18,"The Key","https://www.tvmaze.com/episodes/1409523/the-walking-dead-8x12-the-key"
112,8,13,25 Mar 18,"Do Not Send Us Astray","https://www.tvmaze.com/episodes/1409524/the-walking-dead-8x13-do-not-send-us-astray"
113,8,14,01 Apr 18,"Still Gotta Mean Something","https://www.tvmaze.com/episodes/1409525/the-walking-dead-8x14-still-gotta-mean-something"
114,8,15,08 Apr 18,"Worth","https://www.tvmaze.com/episodes/1409526/the-walking-dead-8x15-worth"
115,8,16,15 Apr 18,"Wrath","https://www.tvmaze.com/episodes/1409696/the-walking-dead-8x16-wrath"
116,9,1,07 Oct 18,"A New Beginning (90 min)","https://www.tvmaze.com/episodes/1499273/the-walking-dead-9x01-a-new-beginning"
117,9,2,14 Oct 18,"The Bridge","https://www.tvmaze.com/episodes/1529474/the-walking-dead-9x02-the-bridge"
118,9,3,21 Oct 18,"Warning Signs","https://www.tvmaze.com/episodes/1529475/the-walking-dead-9x03-warning-signs"
119,9,4,28 Oct 18,"The Obliged","https://www.tvmaze.com/episodes/1529476/the-walking-dead-9x04-the-obliged"
120,9,5,04 Nov 18,"What Comes After","https://www.tvmaze.com/episodes/1529477/the-walking-dead-9x05-what-comes-after"
121,9,6,11 Nov 18,"Who Are You Now?","https://www.tvmaze.com/episodes/1529478/the-walking-dead-9x06-who-are-you-now"
122,9,7,18 Nov 18,"Stradivarius","https://www.tvmaze.com/episodes/1529479/the-walking-dead-9x07-stradivarius"
123,9,8,25 Nov 18,"Evolution","https://www.tvmaze.com/episodes/1529480/the-walking-dead-9x08-evolution"
124,9,9,10 Feb 19,"Adaptation","https://www.tvmaze.com/episodes/1571127/the-walking-dead-9x09-adaptation"
125,9,10,17 Feb 19,"Omega","https://www.tvmaze.com/episodes/1594717/the-walking-dead-9x10-omega"
126,9,11,24 Feb 19,"Bounty","https://www.tvmaze.com/episodes/1594718/the-walking-dead-9x11-bounty"
127,9,12,03 Mar 19,"Guardians","https://www.tvmaze.com/episodes/1594719/the-walking-dead-9x12-guardians"
128,9,13,10 Mar 19,"Chokepoint","https://www.tvmaze.com/episodes/1613890/the-walking-dead-9x13-chokepoint"
129,9,14,17 Mar 19,"Scars","https://www.tvmaze.com/episodes/1614107/the-walking-dead-9x14-scars"
