number,season,episode,airdate,title,tvmaze link
1,1,1,04 Nov 13,"Gem Glow","https://www.tvmaze.com/episodes/142020/steven-universe-1x01-gem-glow"
2,1,2,04 Nov 13,"Laser Light Cannon","https://www.tvmaze.com/episodes/142021/steven-universe-1x02-laser-light-cannon"
3,1,3,11 Nov 13,"Cheeseburger Backpack","https://www.tvmaze.com/episodes/142022/steven-universe-1x03-cheeseburger-backpack"
4,1,4,11 Nov 13,"Together Breakfast","https://www.tvmaze.com/episodes/142023/steven-universe-1x04-together-breakfast"
5,1,5,18 Nov 13,"Frybo","https://www.tvmaze.com/episodes/142024/steven-universe-1x05-frybo"
6,1,6,25 Nov 13,"Cat Fingers","https://www.tvmaze.com/episodes/142025/steven-universe-1x06-cat-fingers"
7,1,7,02 Dec 13,"Bubble Buddies","https://www.tvmaze.com/episodes/142026/steven-universe-1x07-bubble-buddies"
8,1,8,13 Jan 14,"Serious Steven","https://www.tvmaze.com/episodes/142027/steven-universe-1x08-serious-steven"
9,1,9,20 Jan 14,"Tiger Millionaire","https://www.tvmaze.com/episodes/142028/steven-universe-1x09-tiger-millionaire"
10,1,10,27 Jan 14,"Steven's Lion","https://www.tvmaze.com/episodes/142029/steven-universe-1x10-stevens-lion"
11,1,11,17 Feb 14,"Arcade Mania","https://www.tvmaze.com/episodes/142030/steven-universe-1x11-arcade-mania"
12,1,12,24 Feb 14,"Giant Woman","https://www.tvmaze.com/episodes/142031/steven-universe-1x12-giant-woman"
13,1,13,03 Mar 14,"So Many Birthdays","https://www.tvmaze.com/episodes/142032/steven-universe-1x13-so-many-birthdays"
14,1,14,10 Mar 14,"Lars and the Cool Kids","https://www.tvmaze.com/episodes/142033/steven-universe-1x14-lars-and-the-cool-kids"
15,1,15,17 Mar 14,"Onion Trade","https://www.tvmaze.com/episodes/142034/steven-universe-1x15-onion-trade"
16,1,16,09 Apr 14,"Steven the Sword Fighter","https://www.tvmaze.com/episodes/142035/steven-universe-1x16-steven-the-sword-fighter"
17,1,17,23 Apr 14,"Lion 2: The Movie","https://www.tvmaze.com/episodes/142036/steven-universe-1x17-lion-2-the-movie"
18,1,18,30 Apr 14,"Beach Party","https://www.tvmaze.com/episodes/142037/steven-universe-1x18-beach-party"
19,1,19,14 May 14,"Rose's Room","https://www.tvmaze.com/episodes/142038/steven-universe-1x19-roses-room"
20,1,20,21 Aug 14,"Coach Steven","https://www.tvmaze.com/episodes/142039/steven-universe-1x20-coach-steven"
21,1,21,28 Aug 14,"Joking Victim","https://www.tvmaze.com/episodes/142040/steven-universe-1x21-joking-victim"
22,1,22,04 Sep 14,"Steven and the Stevens","https://www.tvmaze.com/episodes/142041/steven-universe-1x22-steven-and-the-stevens"
23,1,23,11 Sep 14,"Monster Buddies","https://www.tvmaze.com/episodes/142042/steven-universe-1x23-monster-buddies"
24,1,24,18 Sep 14,"An Indirect Kiss","https://www.tvmaze.com/episodes/142043/steven-universe-1x24-an-indirect-kiss"
25,1,25,25 Sep 14,"Mirror Gem","https://www.tvmaze.com/episodes/142044/steven-universe-1x25-mirror-gem"
26,1,26,25 Sep 14,"Ocean Gem","https://www.tvmaze.com/episodes/142045/steven-universe-1x26-ocean-gem"
27,1,27,02 Oct 14,"House Guest","https://www.tvmaze.com/episodes/142046/steven-universe-1x27-house-guest"
28,1,28,09 Oct 14,"Space Race","https://www.tvmaze.com/episodes/142047/steven-universe-1x28-space-race"
29,1,29,16 Oct 14,"Secret Team","https://www.tvmaze.com/episodes/142048/steven-universe-1x29-secret-team"
30,1,30,23 Oct 14,"Island Adventure","https://www.tvmaze.com/episodes/142049/steven-universe-1x30-island-adventure"
31,1,31,30 Oct 14,"Keep Beach City Weird","https://www.tvmaze.com/episodes/142050/steven-universe-1x31-keep-beach-city-weird"
32,1,32,06 Nov 14,"Fusion Cuisine","https://www.tvmaze.com/episodes/142053/steven-universe-1x32-fusion-cuisine"
33,1,33,13 Nov 14,"Garnet's Universe","https://www.tvmaze.com/episodes/142051/steven-universe-1x33-garnets-universe"
34,1,34,20 Nov 14,"Watermelon Steven","https://www.tvmaze.com/episodes/142052/steven-universe-1x34-watermelon-steven"
35,1,35,04 Dec 14,"Lion 3: Straight to Video","https://www.tvmaze.com/episodes/142054/steven-universe-1x35-lion-3-straight-to-video"
36,1,36,08 Jan 15,"Warp Tour","https://www.tvmaze.com/episodes/142055/steven-universe-1x36-warp-tour"
37,1,37,15 Jan 15,"Alone Together","https://www.tvmaze.com/episodes/142056/steven-universe-1x37-alone-together"
38,1,38,22 Jan 15,"The Test","https://www.tvmaze.com/episodes/142057/steven-universe-1x38-the-test"
39,1,39,29 Jan 15,"Future Vision","https://www.tvmaze.com/episodes/142058/steven-universe-1x39-future-vision"
40,1,40,05 Feb 15,"On the Run","https://www.tvmaze.com/episodes/142059/steven-universe-1x40-on-the-run"
41,1,41,12 Feb 15,"Horror Club","https://www.tvmaze.com/episodes/142060/steven-universe-1x41-horror-club"
42,1,42,19 Feb 15,"Winter Forecast","https://www.tvmaze.com/episodes/142061/steven-universe-1x42-winter-forecast"
43,1,43,26 Feb 15,"Maximum Capacity","https://www.tvmaze.com/episodes/142062/steven-universe-1x43-maximum-capacity"
44,1,44,05 Mar 15,"Marble Madness","https://www.tvmaze.com/episodes/142377/steven-universe-1x44-marble-madness"
45,1,45,09 Mar 15,"Rose's Scabbard","https://www.tvmaze.com/episodes/143089/steven-universe-1x45-roses-scabbard"
46,1,46,10 Mar 15,"The Message","https://www.tvmaze.com/episodes/143090/steven-universe-1x46-the-message"
47,1,47,11 Mar 15,"Political Power","https://www.tvmaze.com/episodes/143091/steven-universe-1x47-political-power"
48,1,48,12 Mar 15,"The Return","https://www.tvmaze.com/episodes/143092/steven-universe-1x48-the-return"
49,1,49,12 Mar 15,"Jailbreak","https://www.tvmaze.com/episodes/143093/steven-universe-1x49-jailbreak"
50,1,50,13 Mar 15,"Full Disclosure","https://www.tvmaze.com/episodes/143094/steven-universe-1x50-full-disclosure"
51,1,51,19 Mar 15,"Open Book","https://www.tvmaze.com/episodes/144310/steven-universe-1x51-open-book"
52,1,52,26 Mar 15,"Joy Ride","https://www.tvmaze.com/episodes/144311/steven-universe-1x52-joy-ride"
