number,season,episode,airdate,title,tvmaze link
1,1,1,19 Sep 16,"Everything Is Fine","https://www.tvmaze.com/episodes/934977/the-good-place-1x01-everything-is-fine"
2,1,2,19 Sep 16,"Flying","https://www.tvmaze.com/episodes/834857/the-good-place-1x02-flying"
3,1,3,22 Sep 16,"Tahani Al-Jamil","https://www.tvmaze.com/episodes/834858/the-good-place-1x03-tahani-al-jamil"
4,1,4,29 Sep 16,"Jason Mendoza","https://www.tvmaze.com/episodes/911462/the-good-place-1x04-jason-mendoza"
5,1,5,06 Oct 16,"Category 55 Emergency Doomsday Crisis","https://www.tvmaze.com/episodes/911463/the-good-place-1x05-category-55-emergency-doomsday-crisis"
6,1,6,13 Oct 16,"What We Owe to Each Other","https://www.tvmaze.com/episodes/923234/the-good-place-1x06-what-we-owe-to-each-other"
7,1,7,20 Oct 16,"The Eternal Shriek","https://www.tvmaze.com/episodes/923235/the-good-place-1x07-the-eternal-shriek"
8,1,8,27 Oct 16,"Most Improved Player","https://www.tvmaze.com/episodes/923236/the-good-place-1x08-most-improved-player"
9,1,9,03 Nov 16,"...Someone Like Me as a Member","https://www.tvmaze.com/episodes/923237/the-good-place-1x09-someone-like-me-as-a-member"
10,1,10,05 Jan 17,"Chidi's Choice","https://www.tvmaze.com/episodes/987249/the-good-place-1x10-chidis-choice"
11,1,11,12 Jan 17,"What's My Motivation","https://www.tvmaze.com/episodes/998011/the-good-place-1x11-whats-my-motivation"
12,1,12,19 Jan 17,"Mindy St. Claire","https://www.tvmaze.com/episodes/1009996/the-good-place-1x12-mindy-st-claire"
13,1,13,19 Jan 17,"Michael's Gambit","https://www.tvmaze.com/episodes/1009997/the-good-place-1x13-michaels-gambit"
14,2,1,20 Sep 17,"Everything Is Great! Part 1","https://www.tvmaze.com/episodes/1215810/the-good-place-2x01-everything-is-great-part-1"
15,2,2,20 Sep 17,"Everything Is Great! Part 2","https://www.tvmaze.com/episodes/1215811/the-good-place-2x02-everything-is-great-part-2"
16,2,3,28 Sep 17,"Dance Dance Resolution","https://www.tvmaze.com/episodes/1215812/the-good-place-2x03-dance-dance-resolution"
17,2,4,05 Oct 17,"Team Cockroach","https://www.tvmaze.com/episodes/1215813/the-good-place-2x04-team-cockroach"
18,2,5,12 Oct 17,"Existential Crisis","https://www.tvmaze.com/episodes/1215814/the-good-place-2x05-existential-crisis"
19,2,6,19 Oct 17,"The Trolley Problem","https://www.tvmaze.com/episodes/1215815/the-good-place-2x06-the-trolley-problem"
20,2,7,26 Oct 17,"Janet and Michael","https://www.tvmaze.com/episodes/1215817/the-good-place-2x07-janet-and-michael"
21,2,8,02 Nov 17,"Derek","https://www.tvmaze.com/episodes/1215818/the-good-place-2x08-derek"
22,2,9,04 Jan 18,"Leap to Faith","https://www.tvmaze.com/episodes/1215819/the-good-place-2x09-leap-to-faith"
23,2,10,11 Jan 18,"Best Self","https://www.tvmaze.com/episodes/1373758/the-good-place-2x10-best-self"
24,2,11,18 Jan 18,"Rhonda, Diana, Jake, and Trent","https://www.tvmaze.com/episodes/1373762/the-good-place-2x11-rhonda-diana-jake-and-trent"
25,2,12,25 Jan 18,"The Burrito","https://www.tvmaze.com/episodes/1373768/the-good-place-2x12-the-burrito"
26,2,13,01 Feb 18,"Somewhere Else","https://www.tvmaze.com/episodes/1373769/the-good-place-2x13-somewhere-else"
27,3,1,27 Sep 18,"Everything Is Bonzer! Part 1","https://www.tvmaze.com/episodes/1473822/the-good-place-3x01-everything-is-bonzer-part-1"
28,3,2,27 Sep 18,"Everything Is Bonzer! Part 2","https://www.tvmaze.com/episodes/1473823/the-good-place-3x02-everything-is-bonzer-part-2"
29,3,3,04 Oct 18,"The Brainy Bunch","https://www.tvmaze.com/episodes/1473824/the-good-place-3x03-the-brainy-bunch"
30,3,4,11 Oct 18,"The Snowplow","https://www.tvmaze.com/episodes/1473825/the-good-place-3x04-the-snowplow"
31,3,5,18 Oct 18,"Jeremy Bearimy","https://www.tvmaze.com/episodes/1473826/the-good-place-3x05-jeremy-bearimy"
32,3,6,25 Oct 18,"The Ballad of Donkey Doug","https://www.tvmaze.com/episodes/1511257/the-good-place-3x06-the-ballad-of-donkey-doug"
33,3,7,01 Nov 18,"A Fractured Inheritance","https://www.tvmaze.com/episodes/1511258/the-good-place-3x07-a-fractured-inheritance"
34,3,8,08 Nov 18,"The Worst Possible Use of Free Will","https://www.tvmaze.com/episodes/1511259/the-good-place-3x08-the-worst-possible-use-of-free-will"
35,3,9,15 Nov 18,"Don't Let the Good Life Pass You By","https://www.tvmaze.com/episodes/1511260/the-good-place-3x09-dont-let-the-good-life-pass-you-by"
36,3,10,06 Dec 18,"Janet(s)","https://www.tvmaze.com/episodes/1564894/the-good-place-3x10-janets"
37,3,11,10 Jan 19,"The Book of Dougs","https://www.tvmaze.com/episodes/1511263/the-good-place-3x11-the-book-of-dougs"
38,3,12,17 Jan 19,"Chidi Sees the Time-Knife","https://www.tvmaze.com/episodes/1511264/the-good-place-3x12-chidi-sees-the-time-knife"
39,3,13,24 Jan 19,"Pandemonium","https://www.tvmaze.com/episodes/1511265/the-good-place-3x13-pandemonium"
